feature,domain_selected,CPIAUCSL_h1_score,CPIAUCSL_h1_lasso_freq,CPIAUCSL_h3_score,CPIAUCSL_h3_lasso_freq,CPIAUCSL_h6_score,CPIAUCSL_h6_lasso_freq,CPIAUCSL_h12_score,CPIAUCSL_h12_lasso_freq,S&P 500_h1_score,S&P 500_h1_lasso_freq,S&P 500_h3_score,S&P 500_h3_lasso_freq,S&P 500_h6_score,S&P 500_h6_lasso_freq,S&P 500_h12_score,S&P 500_h12_lasso_freq,mean_rank_score,max_lasso_frequency,selected_recommendation,description
FEDFUNDS,1,0.6926229508196721,0.5641025641025641,0.6980874316939891,0.23076923076923078,0.5136612021857924,0.05128205128205128,0.6202185792349727,0.20512820512820512,0.7650273224043715,0.0,0.8674863387978142,0.358974358974359,0.610655737704918,0.0,0.7144808743169399,0.02564102564102564,0.6852800546448088,0.5641025641025641,1,"Monetary-policy stance; affects demand, inflation expectations, discount rates, and asset prices."
T10YFFM,1,0.7185792349726775,0.07692307692307693,0.6775956284153005,0.0,0.657103825136612,0.0,0.6734972677595629,0.02564102564102564,0.5792349726775957,0.0,0.6721311475409837,0.0,0.569672131147541,0.0,0.7254098360655737,0.0,0.6591530054644809,0.07692307692307693,1,Long-rate minus fed funds spread; captures term-structure expectations and policy tightness.
VIXCLSx,1,0.5942622950819673,0.28205128205128205,0.4781420765027322,0.3076923076923077,0.5423497267759562,0.46153846153846156,0.6065573770491803,0.38461538461538464,0.5737704918032787,0.0,0.8292349726775957,0.07692307692307693,0.8292349726775955,0.23076923076923078,0.7513661202185792,0.1794871794871795,0.6506147540983607,0.46153846153846156,1,Equity-market risk/uncertainty proxy; forward-looking financial-stress signal.
PERMIT,1,0.4658469945355192,0.0,0.5819672131147541,0.0,0.5915300546448088,0.02564102564102564,0.5956284153005464,0.05128205128205128,0.23497267759562845,0.0,0.5546448087431695,0.0,0.6871584699453552,0.0,0.733606557377049,0.0,0.5556693989071039,0.05128205128205128,1,Forward-looking housing cycle; interest-sensitive demand and wealth channel.
S&P PE ratio,1,0.18032786885245902,0.1794871794871795,0.41530054644808745,0.15384615384615385,0.48224043715846987,0.20512820512820512,0.5245901639344263,0.20512820512820512,0.9153005464480874,0.48717948717948717,0.6393442622950819,0.05128205128205128,0.75,0.02564102564102564,0.5341530054644809,0.0,0.5551571038251366,0.48717948717948717,1,Equity valuation signal; connects earnings expectations and discount-rate pressure.
CPIAUCSL,1,0.7909836065573771,0.48717948717948717,0.6010928961748635,0.1282051282051282,0.5573770491803279,0.2564102564102564,0.6065573770491804,0.358974358974359,0.4808743169398908,0.0,0.5737704918032787,0.0,0.3538251366120219,0.0,0.44945355191256825,0.0,0.5517418032786886,0.48717948717948717,1,Headline CPI inflation momentum; direct inflation persistence signal.
OILPRICEx,1,0.8278688524590164,0.8717948717948718,0.819672131147541,0.717948717948718,0.6051912568306012,0.41025641025641024,0.6147540983606558,0.358974358974359,0.3469945355191257,0.0,0.5273224043715846,0.0,0.23497267759562843,0.0,0.34836065573770486,0.0,0.5406420765027322,0.8717948717948718,1,Energy-price shock channel; important for headline inflation and equity discount/cost pressure.
UNRATE,1,0.28005464480874315,0.02564102564102564,0.17759562841530052,0.0,0.2527322404371585,0.1794871794871795,0.30191256830601093,0.358974358974359,0.7240437158469945,0.3333333333333333,0.592896174863388,0.0,0.49863387978142076,0.0,0.685792349726776,0.05128205128205128,0.43920765027322406,0.358974358974359,1,Labor-market slack; Phillips-curve style demand pressure and recession-risk proxy.
PCEPI,1,0.32103825136612024,0.0,0.3333333333333333,0.0,0.4521857923497268,0.48717948717948717,0.2937158469945355,0.1794871794871795,0.6693989071038251,0.2564102564102564,0.5327868852459017,0.02564102564102564,0.44672131147540983,0.0,0.2855191256830601,0.0,0.4168374316939891,0.48717948717948717,1,Alternative broad consumption price index; cross-checks CPI with a Fed-relevant price concept.
PPICMM,1,0.3866120218579235,0.7692307692307693,0.31010928961748635,0.23076923076923078,0.39207650273224043,0.5128205128205128,0.41803278688524587,0.38461538461538464,0.5683060109289618,0.5897435897435898,0.3224043715846994,0.0,0.5013661202185792,0.0,0.3948087431693989,0.02564102564102564,0.4117144808743169,0.7692307692307693,1,Producer-price commodity pressure; upstream cost signal before consumer-price pass-through.
BUSINVx,0,0.9289617486338798,0.8717948717948718,0.9330601092896175,0.8717948717948718,0.953551912568306,1.0,0.9330601092896176,0.9487179487179487,0.6502732240437159,0.0,0.8415300546448088,0.02564102564102564,0.8633879781420765,0.1794871794871795,0.7581967213114754,0.02564102564102564,0.857752732240437,1.0,0,
USWTRADE,0,0.7882513661202185,0.9487179487179487,0.8866120218579235,0.8974358974358975,0.8551912568306012,0.9230769230769231,0.8743169398907105,0.8461538461538461,0.860655737704918,0.1282051282051282,0.9234972677595629,0.38461538461538464,0.7896174863387978,0.28205128205128205,0.8387978142076503,0.28205128205128205,0.8521174863387978,0.9487179487179487,0,
TB3SMFFM,0,0.9603825136612022,0.8974358974358975,0.9508196721311476,0.717948717948718,0.9453551912568305,0.6923076923076923,0.9603825136612022,0.7435897435897436,0.680327868852459,0.1794871794871795,0.9426229508196721,0.1794871794871795,0.6489071038251367,0.0,0.7172131147540984,0.0,0.8507513661202186,0.8974358974358975,0,
T1YFFM,0,0.6543715846994536,0.1282051282051282,0.8101092896174863,0.23076923076923078,0.8756830601092896,0.48717948717948717,0.8579234972677595,0.38461538461538464,0.6502732240437159,0.10256410256410256,0.9330601092896176,0.10256410256410256,0.9275956284153004,0.23076923076923078,0.983606557377049,0.6923076923076923,0.836577868852459,0.6923076923076923,0,
AAAFFM,0,0.9836065573770493,0.9230769230769231,0.9234972677595629,0.41025641025641024,0.8825136612021858,0.4358974358974359,0.9754098360655737,0.5384615384615384,0.7349726775956285,0.0,0.726775956284153,0.0,0.6653005464480874,0.0,0.7254098360655737,0.0,0.8271857923497269,0.9230769230769231,0,
COMPAPFFx,0,0.9426229508196721,1.0,0.9371584699453552,0.9230769230769231,0.9453551912568307,0.9230769230769231,0.9330601092896175,0.8717948717948718,0.4781420765027322,0.20512820512820512,0.6297814207650273,0.358974358974359,0.8456284153005464,0.38461538461538464,0.8852459016393442,0.5641025641025641,0.8246243169398907,1.0,0,
BAAFFM,0,0.6734972677595629,0.0,0.7131147540983607,0.02564102564102564,0.7226775956284154,0.07692307692307693,0.7322404371584699,0.1282051282051282,0.9043715846994536,0.5128205128205128,0.9480874316939891,0.41025641025641024,0.883879781420765,0.38461538461538464,0.930327868852459,0.23076923076923078,0.8135245901639343,0.5128205128205128,0,
T5YFFM,0,0.8551912568306012,0.6666666666666666,0.9685792349726775,0.8974358974358975,0.9740437158469945,0.9487179487179487,0.953551912568306,0.6153846153846154,0.5710382513661202,0.0,0.7185792349726777,0.0,0.6953551912568305,0.0,0.7445355191256832,0.0,0.8101092896174863,0.9487179487179487,0,
HOUSTMW,0,0.8387978142076502,0.8205128205128205,0.8920765027322405,0.8461538461538461,0.905737704918033,0.9487179487179487,0.9248633879781422,0.8717948717948718,0.5546448087431695,0.0,0.42896174863387976,0.0,0.8510928961748633,0.3076923076923077,0.948087431693989,0.5897435897435898,0.7930327868852459,0.9487179487179487,0,
AMDMUOx,0,0.6693989071038251,0.8205128205128205,0.9057377049180327,0.8717948717948718,0.8756830601092895,0.9487179487179487,0.8811475409836066,0.7435897435897436,0.4562841530054645,0.0,0.7349726775956285,0.0,0.8934426229508197,0.5897435897435898,0.8210382513661202,0.6666666666666666,0.7797131147540983,0.9487179487179487,0,
AWHMAN,0,0.8756830601092895,0.6923076923076923,0.9316939890710382,0.8205128205128205,0.9153005464480874,0.8461538461538461,0.8346994535519127,0.3333333333333333,0.4945355191256831,0.0,0.6202185792349727,0.0,0.73224043715847,0.05128205128205128,0.7513661202185792,0.15384615384615385,0.7694672131147541,0.8461538461538461,0,
PERMITNE,0,0.7978142076502731,0.8205128205128205,0.8087431693989071,0.6666666666666666,0.8674863387978142,0.717948717948718,0.8743169398907105,0.4358974358974359,0.3442622950819672,0.0,0.6502732240437159,0.0,0.7390710382513661,0.0,0.8989071038251367,0.15384615384615385,0.7476092896174864,0.8205128205128205,0,
GS5,0,0.6967213114754097,0.5128205128205128,0.7472677595628415,0.3333333333333333,0.6256830601092896,0.28205128205128205,0.5095628415300547,0.10256410256410256,0.935792349726776,1.0,0.8879781420765026,0.05128205128205128,0.7172131147540983,0.5384615384615384,0.726775956284153,0.05128205128205128,0.7308743169398907,1.0,0,
PERMITMW,0,0.7349726775956285,0.4358974358974359,0.8196721311475409,0.41025641025641024,0.860655737704918,0.6153846153846154,0.8961748633879781,0.4358974358974359,0.319672131147541,0.0,0.5245901639344263,0.0,0.7062841530054644,0.0,0.9453551912568307,0.46153846153846156,0.725922131147541,0.6153846153846154,0,
CES0600000007,0,0.9043715846994536,1.0,0.8989071038251367,0.8205128205128205,0.9289617486338798,0.8974358974358975,0.9603825136612022,0.9487179487179487,0.41803278688524587,0.0,0.4754098360655738,0.0,0.5614754098360656,0.0,0.4959016393442623,0.0,0.7054303278688524,1.0,0,
M2REAL,0,0.9043715846994536,1.0,0.9207650273224043,0.9487179487179487,0.8101092896174865,0.9487179487179487,0.8196721311475409,0.8974358974358975,0.6721311475409837,0.0,0.5245901639344263,0.0,0.564207650273224,0.0,0.42213114754098363,0.0,0.7047472677595629,1.0,0,
GS1,0,0.5177595628415301,0.02564102564102564,0.6775956284153005,0.07692307692307693,0.6434426229508197,0.1794871794871795,0.6407103825136612,0.23076923076923078,0.7158469945355191,0.0,0.8620218579234972,0.07692307692307693,0.8360655737704917,0.05128205128205128,0.6215846994535519,0.0,0.6893784153005464,0.23076923076923078,0,
HOUSTW,0,0.8442622950819673,0.8205128205128205,0.6857923497267758,0.2564102564102564,0.796448087431694,0.6410256410256411,0.6420765027322405,0.1282051282051282,0.5300546448087432,0.0,0.6202185792349727,0.0,0.6051912568306012,0.0,0.7363387978142076,0.02564102564102564,0.6825478142076502,0.8205128205128205,0,
BAA,0,0.73224043715847,0.7435897435897436,0.8278688524590163,0.717948717948718,0.8005464480874317,0.6923076923076923,0.6161202185792349,0.3333333333333333,0.5273224043715848,0.0,0.7076502732240438,0.0,0.6734972677595629,0.05128205128205128,0.5724043715846995,0.0,0.6822062841530055,0.7435897435897436,0,
TB6SMFFM,0,0.6325136612021858,0.0,0.680327868852459,0.0,0.6912568306010929,0.05128205128205128,0.6489071038251366,0.0,0.5081967213114754,0.0,0.7431693989071039,0.0,0.7418032786885246,0.0,0.7226775956284154,0.0,0.6711065573770492,0.05128205128205128,0,
AAA,0,0.4275956284153006,0.0,0.5191256830601093,0.0,0.6202185792349727,0.38461538461538464,0.6666666666666666,0.358974358974359,0.5355191256830601,0.0,0.9221311475409837,0.3076923076923077,0.9098360655737704,0.41025641025641024,0.7513661202185792,0.38461538461538464,0.6690573770491803,0.41025641025641024,0,
HOUSTNE,0,0.6147540983606558,0.5128205128205128,0.7363387978142075,0.38461538461538464,0.6612021857923497,0.10256410256410256,0.7131147540983607,0.2564102564102564,0.41530054644808745,0.0,0.6967213114754099,0.0,0.8073770491803279,0.02564102564102564,0.6953551912568307,0.0,0.6675204918032788,0.5128205128205128,0,
USFIRE,0,0.7144808743169399,0.7692307692307693,0.8497267759562841,0.6923076923076923,0.8265027322404371,0.6410256410256411,0.8633879781420766,0.5128205128205128,0.3415300546448088,0.0,0.4918032786885247,0.0,0.49590163934426235,0.0,0.7008196721311476,0.02564102564102564,0.6605191256830601,0.7692307692307693,0,
PERMITW,0,0.6612021857923497,0.23076923076923078,0.8524590163934427,0.6410256410256411,0.8046448087431695,0.48717948717948717,0.8333333333333334,0.38461538461538464,0.2213114754098361,0.0,0.40163934426229514,0.0,0.5778688524590164,0.0,0.7978142076502732,0.1282051282051282,0.6437841530054644,0.6410256410256411,0,
MANEMP,0,0.4112021857923498,0.02564102564102564,0.46174863387978143,0.0,0.49590163934426235,0.0,0.5573770491803278,0.1794871794871795,0.5601092896174863,0.0,0.8633879781420765,0.3333333333333333,0.907103825136612,0.4358974358974359,0.8920765027322405,0.6666666666666666,0.643613387978142,0.6666666666666666,0,
GS10,0,0.6243169398907104,0.1282051282051282,0.6202185792349727,0.1282051282051282,0.7540983606557378,0.9230769230769231,0.6666666666666666,0.358974358974359,0.6475409836065574,0.0,0.5983606557377049,0.0,0.5136612021857924,0.0,0.6967213114754097,0.41025641025641024,0.640198087431694,0.9230769230769231,0,
NDMANEMP,0,0.5081967213114754,0.5384615384615384,0.5669398907103825,0.38461538461538464,0.6024590163934426,0.46153846153846156,0.6434426229508197,0.3076923076923077,0.5519125683060109,0.0,0.5546448087431695,0.0,0.7513661202185792,0.1282051282051282,0.8879781420765028,0.5128205128205128,0.6333674863387978,0.5384615384615384,0,
CES1021000001,0,0.7349726775956285,0.8717948717948718,0.7144808743169399,0.38461538461538464,0.6024590163934427,0.1794871794871795,0.49726775956284147,0.07692307692307693,0.5942622950819673,0.02564102564102564,0.46994535519125685,0.0,0.6215846994535519,0.0,0.7691256830601093,0.02564102564102564,0.6255122950819673,0.8717948717948718,0,
TB6MS,0,0.5081967213114754,0.10256410256410256,0.5792349726775955,0.02564102564102564,0.5396174863387978,0.0,0.5300546448087432,0.07692307692307693,0.9275956284153005,1.0,0.7677595628415301,0.0,0.6816939890710382,0.0,0.4439890710382513,0.0,0.6222677595628414,1.0,0,
TB3MS,0,0.5013661202185792,0.02564102564102564,0.7377049180327869,0.5897435897435898,0.7950819672131147,0.5384615384615384,0.6366120218579235,0.20512820512820512,0.5300546448087432,0.0,0.592896174863388,0.0,0.7226775956284154,0.0,0.342896174863388,0.0,0.6074112021857924,0.5897435897435898,0,
PERMITS,0,0.505464480874317,0.358974358974359,0.5778688524590164,0.38461538461538464,0.7622950819672131,0.5384615384615384,0.8114754098360656,0.41025641025641024,0.2677595628415301,0.0,0.4480874316939891,0.0,0.6325136612021858,0.0,0.7937158469945356,0.02564102564102564,0.5998975409836066,0.5384615384615384,0,
CP3Mx,0,0.528688524590164,0.02564102564102564,0.6379781420765027,0.05128205128205128,0.5833333333333333,0.07692307692307693,0.587431693989071,0.1282051282051282,0.73224043715847,0.0,0.5846994535519126,0.0,0.6051912568306012,0.0,0.4193989071038251,0.0,0.5848702185792349,0.1282051282051282,0,
CONSPI,0,0.6816939890710382,0.9487179487179487,0.7418032786885247,0.8461538461538461,0.6407103825136612,0.717948717948718,0.7131147540983607,0.46153846153846156,0.43169398907103823,0.0,0.40983606557377045,0.0,0.41120218579234974,0.0,0.4549180327868852,0.23076923076923078,0.5606215846994534,0.9487179487179487,0,
HOUST,0,0.5286885245901639,0.0,0.5819672131147541,0.0,0.5860655737704917,0.02564102564102564,0.6311475409836066,0.05128205128205128,0.32513661202185795,0.0,0.4234972677595629,0.0,0.6734972677595629,0.0,0.7226775956284154,0.0,0.5590846994535519,0.05128205128205128,0,
USTPU,0,0.5095628415300547,0.02564102564102564,0.4699453551912569,0.07692307692307693,0.5765027322404371,0.23076923076923078,0.45628415300546443,0.1282051282051282,0.39344262295081966,0.0,0.6092896174863388,0.2564102564102564,0.7882513661202187,0.3076923076923077,0.6434426229508197,0.02564102564102564,0.5558401639344264,0.3076923076923077,0,
HOUSTS,0,0.44125683060109294,0.0,0.4426229508196721,0.0,0.6325136612021858,0.07692307692307693,0.6297814207650273,0.10256410256410256,0.2540983606557377,0.0,0.6147540983606558,0.0,0.703551912568306,0.0,0.7090163934426229,0.0,0.5534494535519126,0.10256410256410256,0,
CPIULFSL,0,0.6270491803278688,0.0,0.7800546448087431,0.38461538461538464,0.5778688524590163,0.20512820512820512,0.5669398907103825,0.23076923076923078,0.6202185792349727,0.0,0.5355191256830601,0.0,0.389344262295082,0.0,0.32103825136612024,0.0,0.5522540983606559,0.38461538461538464,0,
DMANEMP,0,0.43852459016393447,0.02564102564102564,0.41803278688524587,0.07692307692307693,0.5751366120218578,0.20512820512820512,0.4576502732240437,0.0,0.3989071038251366,0.0,0.5737704918032787,0.0,0.7281420765027322,0.0,0.7199453551912569,0.0,0.5387636612021858,0.20512820512820512,0,
IPBUSEQ,0,0.5204918032786886,0.3333333333333333,0.6721311475409836,0.5897435897435898,0.546448087431694,0.5897435897435898,0.43579234972677594,0.23076923076923078,0.43715846994535523,0.0,0.5491803278688524,0.15384615384615385,0.5286885245901639,0.0,0.5765027322404371,0.07692307692307693,0.5332991803278688,0.5897435897435898,0,
USGOOD,0,0.3674863387978142,0.05128205128205128,0.39890710382513656,0.0,0.3948087431693989,0.0,0.3852459016393442,0.1282051282051282,0.46994535519125685,0.0,0.685792349726776,0.0,0.7363387978142076,0.0,0.8278688524590164,0.05128205128205128,0.5332991803278688,0.1282051282051282,0,
SRVPRD,0,0.5177595628415301,0.02564102564102564,0.3729508196721311,0.05128205128205128,0.4795081967213115,0.07692307692307693,0.5683060109289618,0.20512820512820512,0.5191256830601093,0.0,0.5819672131147541,0.0,0.569672131147541,0.0,0.6161202185792349,0.0,0.5281762295081968,0.20512820512820512,0,
CE16OV,0,0.2855191256830601,0.05128205128205128,0.42076502732240434,0.10256410256410256,0.4057377049180328,0.1794871794871795,0.4412568306010929,0.10256410256410256,0.7185792349726775,0.0,0.7950819672131147,0.02564102564102564,0.5915300546448088,0.0,0.5368852459016394,0.0,0.5244193989071039,0.1794871794871795,0,
PAYEMS,0,0.5382513661202185,0.3076923076923077,0.3551912568306011,0.0,0.4357923497267759,0.0,0.45901639344262296,0.07692307692307693,0.5327868852459017,0.0,0.5382513661202185,0.0,0.6816939890710382,0.0,0.5806010928961749,0.0,0.5151980874316939,0.3076923076923077,0,
USTRADE,0,0.4330601092896176,0.02564102564102564,0.5409836065573771,0.10256410256410256,0.4890710382513661,0.15384615384615385,0.7049180327868854,0.38461538461538464,0.36065573770491804,0.0,0.7281420765027322,0.10256410256410256,0.5396174863387979,0.0,0.31010928961748635,0.0,0.5133196721311476,0.38461538461538464,0,
CLF16OV,0,0.3879781420765027,0.07692307692307693,0.5040983606557377,0.23076923076923078,0.6092896174863388,0.3333333333333333,0.5710382513661202,0.28205128205128205,0.592896174863388,0.0,0.46174863387978143,0.0,0.48224043715846987,0.0,0.48497267759562845,0.0,0.5117827868852458,0.3333333333333333,0,
S&P div yield,0,0.37021857923497264,0.6923076923076923,0.41803278688524587,0.02564102564102564,0.5136612021857924,0.28205128205128205,0.5956284153005466,0.358974358974359,0.7827868852459017,0.02564102564102564,0.5027322404371585,0.0,0.4726775956284153,0.0,0.3756830601092896,0.0,0.5039275956284154,0.6923076923076923,0,
CUSR0000SA0L5,0,0.8292349726775957,0.5641025641025641,0.5901639344262294,0.02564102564102564,0.5327868852459016,0.10256410256410256,0.4931693989071038,0.15384615384615385,0.5081967213114754,0.0,0.3442622950819672,0.0,0.4658469945355191,0.0,0.2581967213114754,0.0,0.5027322404371585,0.5641025641025641,0,
HWI,0,0.3715846994535519,0.5128205128205128,0.4959016393442623,0.28205128205128205,0.41393442622950816,0.46153846153846156,0.383879781420765,0.28205128205128205,0.30327868852459017,0.0,0.7363387978142076,0.3076923076923077,0.6256830601092896,0.2564102564102564,0.6803278688524591,0.4358974358974359,0.5013661202185793,0.5128205128205128,0,
