feature,domain_selected,CPIAUCSL_h1_score,CPIAUCSL_h1_lasso_freq,CPIAUCSL_h3_score,CPIAUCSL_h3_lasso_freq,CPIAUCSL_h6_score,CPIAUCSL_h6_lasso_freq,CPIAUCSL_h12_score,CPIAUCSL_h12_lasso_freq,S&P 500_h1_score,S&P 500_h1_lasso_freq,S&P 500_h3_score,S&P 500_h3_lasso_freq,S&P 500_h6_score,S&P 500_h6_lasso_freq,S&P 500_h12_score,S&P 500_h12_lasso_freq,mean_rank_score,max_lasso_frequency,selected_recommendation,description
CUSR0000SA0L2,0,0.6762295081967213,0.05128205128205128,0.657103825136612,0.20512820512820512,0.5573770491803279,0.4358974358974359,0.6584699453551913,0.38461538461538464,0.4754098360655738,0.0,0.24590163934426232,0.0,0.2937158469945355,0.0,0.39207650273224043,0.0,0.4945355191256831,0.4358974358974359,0,
S&P 500,0,0.4193989071038251,0.3333333333333333,0.3469945355191257,0.4358974358974359,0.3087431693989071,0.38461538461538464,0.38114754098360654,0.3333333333333333,0.9918032786885247,0.6153846153846154,0.4972677595628416,0.0,0.46174863387978143,0.0,0.5423497267759563,0.0,0.493681693989071,0.6153846153846154,0,
ISRATIOx,0,0.7254098360655737,0.8974358974358975,0.505464480874317,0.8205128205128205,0.5601092896174863,0.6923076923076923,0.5081967213114754,0.38461538461538464,0.37978142076502736,0.0,0.4726775956284153,0.0,0.2377049180327869,0.0,0.5423497267759563,0.02564102564102564,0.4914617486338798,0.8974358974358975,0,
EXSZUSx,0,0.46174863387978143,0.8461538461538461,0.6297814207650273,0.46153846153846156,0.49863387978142076,0.5641025641025641,0.6721311475409836,0.41025641025641024,0.5245901639344263,0.0,0.2759562841530055,0.0,0.523224043715847,0.0,0.33743169398907097,0.02564102564102564,0.49043715846994534,0.8461538461538461,0,
EXCAUSx,0,0.6202185792349727,0.717948717948718,0.5191256830601093,0.1282051282051282,0.48360655737704916,0.2564102564102564,0.476775956284153,0.3076923076923077,0.7513661202185792,0.0,0.42622950819672134,0.0,0.46857923497267756,0.0,0.15163934426229508,0.0,0.4871926229508196,0.717948717948718,0,
USGOVT,0,0.4781420765027322,0.8205128205128205,0.5136612021857924,0.5897435897435898,0.44945355191256836,0.48717948717948717,0.4972677595628416,0.28205128205128205,0.459016393442623,0.0,0.4781420765027322,0.0,0.41256830601092903,0.0,0.5983606557377049,0.15384615384615385,0.48582650273224043,0.8205128205128205,0,
TOTRESNS,0,0.4112021857923498,0.41025641025641024,0.6297814207650273,0.38461538461538464,0.42213114754098363,0.358974358974359,0.18852459016393444,0.02564102564102564,0.8948087431693988,0.02564102564102564,0.42076502732240434,0.0,0.43989071038251365,0.0,0.4275956284153006,0.0,0.47933743169398907,0.41025641025641024,0,
CUSR0000SAS,0,0.3756830601092896,0.0,0.6475409836065573,0.3076923076923077,0.48360655737704916,0.10256410256410256,0.4877049180327868,0.15384615384615385,0.3551912568306011,0.0,0.4945355191256831,0.0,0.48224043715846987,0.0,0.44672131147540983,0.0,0.47165300546448086,0.3076923076923077,0,
CUSR0000SAD,0,0.6243169398907104,0.7692307692307693,0.4412568306010929,0.23076923076923078,0.657103825136612,0.5641025641025641,0.4480874316939891,0.28205128205128205,0.6311475409836066,0.0,0.5327868852459017,0.0,0.20218579234972678,0.0,0.1871584699453552,0.0,0.4655054644808744,0.7692307692307693,0,
EXJPUSx,0,0.49453551912568305,0.7435897435897436,0.6010928961748633,0.4358974358974359,0.569672131147541,0.48717948717948717,0.39071038251366125,0.358974358974359,0.5136612021857924,0.0,0.30601092896174864,0.0,0.49590163934426235,0.0,0.31830601092896177,0.0,0.4612363387978142,0.7435897435897436,0,
CPIAPPSL,0,0.621584699453552,0.6923076923076923,0.3469945355191257,0.07692307692307693,0.46038251366120225,0.41025641025641024,0.453551912568306,0.38461538461538464,0.5887978142076503,0.05128205128205128,0.5710382513661202,0.0,0.2978142076502732,0.0,0.2636612021857923,0.0,0.4504781420765028,0.6923076923076923,0,
EXUSUKx,0,0.3633879781420765,0.07692307692307693,0.43169398907103823,0.10256410256410256,0.3879781420765028,0.2564102564102564,0.5068306010928961,0.3076923076923077,0.3743169398907104,0.0,0.6366120218579234,0.0,0.40983606557377045,0.0,0.48360655737704916,0.1794871794871795,0.4492827868852459,0.3076923076923077,0,
AMDMNOx,0,0.3538251366120218,0.48717948717948717,0.5437158469945355,0.358974358974359,0.5806010928961749,0.48717948717948717,0.48224043715847004,0.38461538461538464,0.4672131147540984,0.0,0.2103825136612022,0.0,0.4521857923497268,0.0,0.4740437158469945,0.0,0.44552595628415304,0.48717948717948717,0,
IPNMAT,0,0.453551912568306,0.8205128205128205,0.5163934426229508,0.358974358974359,0.4344262295081967,0.4358974358974359,0.5273224043715846,0.4358974358974359,0.5846994535519126,0.0,0.3825136612021858,0.0,0.28415300546448086,0.0,0.3401639344262295,0.0,0.44040300546448086,0.8205128205128205,0,
UMCSENTx,0,0.31830601092896177,0.38461538461538464,0.5081967213114754,0.10256410256410256,0.6051912568306012,0.46153846153846156,0.5355191256830601,0.38461538461538464,0.5983606557377049,0.0,0.25136612021857924,0.0,0.24863387978142074,0.0,0.40027322404371585,0.0,0.43323087431693996,0.46153846153846156,0,
IPB51222S,0,0.4521857923497268,0.6923076923076923,0.4166666666666667,0.3333333333333333,0.3948087431693989,0.48717948717948717,0.43169398907103823,0.38461538461538464,0.6584699453551912,0.0,0.37978142076502736,0.0,0.5341530054644809,0.0,0.19535519125683062,0.0,0.43288934426229503,0.6923076923076923,0,
CPIMEDSL,0,0.5122950819672131,0.38461538461538464,0.3497267759562841,0.02564102564102564,0.42213114754098363,0.07692307692307693,0.5204918032786886,0.3333333333333333,0.4098360655737705,0.0,0.43989071038251365,0.0,0.47131147540983603,0.0,0.2745901639344262,0.0,0.4250341530054645,0.38461538461538464,0,
RETAILx,0,0.4685792349726776,0.1282051282051282,0.4754098360655738,0.10256410256410256,0.39071038251366125,0.05128205128205128,0.46038251366120214,0.15384615384615385,0.5300546448087432,0.0,0.21311475409836067,0.0,0.41120218579234974,0.0,0.4166666666666667,0.02564102564102564,0.4207650273224044,0.15384615384615385,0,
CPITRNSL,0,0.8210382513661202,0.7948717948717948,0.37841530054644806,0.05128205128205128,0.4576502732240438,0.1794871794871795,0.476775956284153,0.23076923076923078,0.43989071038251365,0.0,0.23497267759562843,0.0,0.22404371584699453,0.0,0.3237704918032787,0.0,0.41956967213114754,0.7948717948717948,0,
CUSR0000SAC,0,0.5860655737704917,0.20512820512820512,0.4890710382513661,0.07692307692307693,0.3005464480874317,0.05128205128205128,0.3046448087431694,0.10256410256410256,0.6639344262295083,0.1794871794871795,0.360655737704918,0.0,0.3155737704918033,0.0,0.33196721311475413,0.0,0.41905737704918034,0.20512820512820512,0,
WPSID61,0,0.7363387978142075,0.7692307692307693,0.453551912568306,0.0,0.42213114754098363,0.07692307692307693,0.43715846994535523,0.358974358974359,0.2950819672131148,0.0,0.35792349726775957,0.0,0.3784153005464481,0.0,0.2226775956284153,0.0,0.4129098360655738,0.7692307692307693,0,
M2SL,0,0.407103825136612,0.358974358974359,0.5546448087431693,0.3076923076923077,0.4426229508196721,0.5384615384615384,0.430327868852459,0.41025641025641024,0.43989071038251365,0.0,0.41256830601092903,0.0,0.3442622950819672,0.0,0.2663934426229508,0.0,0.41222677595628415,0.5384615384615384,0,
CMRMTSPLx,0,0.33879781420765026,0.6410256410256411,0.39071038251366125,0.2564102564102564,0.4412568306010929,0.46153846153846156,0.389344262295082,0.38461538461538464,0.4726775956284153,0.0,0.407103825136612,0.0,0.3510928961748634,0.0,0.4849726775956284,0.0,0.40949453551912574,0.6410256410256411,0,
RPI,0,0.383879781420765,0.5641025641025641,0.26229508196721313,0.358974358974359,0.3265027322404372,0.48717948717948717,0.28551912568306015,0.358974358974359,0.7527322404371585,0.05128205128205128,0.4836065573770492,0.0,0.3087431693989071,0.0,0.4521857923497268,0.02564102564102564,0.40693306010928965,0.5641025641025641,0,
UEMP27OV,0,0.2581967213114754,0.05128205128205128,0.3306010928961749,0.07692307692307693,0.22404371584699453,0.23076923076923078,0.39207650273224043,0.3076923076923077,0.5245901639344263,0.0,0.3114754098360656,0.0,0.6079234972677595,0.0,0.5915300546448088,0.0,0.4050546448087432,0.3076923076923077,0,
UEMP15OV,0,0.20628415300546446,0.1282051282051282,0.25956284153005466,0.07692307692307693,0.34972677595628415,0.28205128205128205,0.19535519125683057,0.2564102564102564,0.5027322404371585,0.0,0.35792349726775957,0.0,0.6215846994535519,0.0,0.7131147540983607,0.1794871794871795,0.40078551912568305,0.28205128205128205,0,
HWIURATIO,0,0.24180327868852458,0.0,0.273224043715847,0.10256410256410256,0.3224043715846994,0.10256410256410256,0.33469945355191255,0.10256410256410256,0.27049180327868855,0.0,0.5409836065573771,0.0,0.41803278688524587,0.0,0.7923497267759562,0.2564102564102564,0.3992486338797814,0.2564102564102564,0,
IPFUELS,0,0.3265027322404372,0.41025641025641024,0.5109289617486339,0.5128205128205128,0.3715846994535519,0.5384615384615384,0.5573770491803279,0.41025641025641024,0.25136612021857924,0.0,0.546448087431694,0.05128205128205128,0.3169398907103825,0.0,0.2937158469945355,0.0,0.3968579234972678,0.5384615384615384,0,
BOGMBASE,0,0.3961748633879781,0.1794871794871795,0.49863387978142076,0.46153846153846156,0.5273224043715847,0.3333333333333333,0.39071038251366125,0.358974358974359,0.5,0.0,0.24316939890710385,0.0,0.2786885245901639,0.0,0.29918032786885246,0.0,0.39173497267759566,0.46153846153846156,0,
IPFINAL,0,0.22814207650273224,0.02564102564102564,0.2896174863387978,0.07692307692307693,0.35655737704918034,0.3076923076923077,0.41803278688524587,0.2564102564102564,0.3087431693989071,0.0,0.5136612021857924,0.0,0.4439890710382513,0.0,0.5204918032786885,0.0,0.3849043715846995,0.3076923076923077,0,
WPSFD49207,0,0.575136612021858,0.1282051282051282,0.4726775956284153,0.15384615384615385,0.40710382513661214,0.05128205128205128,0.3224043715846994,0.05128205128205128,0.5273224043715846,0.0,0.2759562841530055,0.0,0.2814207650273224,0.0,0.18989071038251368,0.0,0.38148907103825136,0.15384615384615385,0,
IPMAT,0,0.3128415300546448,0.02564102564102564,0.22404371584699453,0.0,0.27459016393442626,0.41025641025641024,0.2841530054644809,0.3076923076923077,0.616120218579235,0.02564102564102564,0.3360655737704918,0.0,0.5587431693989071,0.0,0.430327868852459,0.0,0.3796106557377049,0.41025641025641024,0,
CLAIMSx,0,0.37021857923497264,0.20512820512820512,0.42622950819672134,0.3076923076923077,0.366120218579235,0.10256410256410256,0.319672131147541,0.1282051282051282,0.2868852459016394,0.0,0.47267759562841527,0.0,0.46311475409836067,0.0,0.31830601092896177,0.0,0.3779030054644809,0.3076923076923077,0,
IPCONGD,0,0.32786885245901637,0.7435897435897436,0.48087431693989074,0.5641025641025641,0.3879781420765027,0.38461538461538464,0.40163934426229514,0.41025641025641024,0.4071038251366121,0.0,0.33879781420765026,0.0,0.3415300546448088,0.0,0.3155737704918033,0.0,0.37517076502732244,0.7435897435897436,0,
W875RX1,0,0.44672131147540983,0.28205128205128205,0.366120218579235,0.1282051282051282,0.35928961748633875,0.3076923076923077,0.34016393442622955,0.41025641025641024,0.27868852459016397,0.0,0.28415300546448086,0.0,0.4658469945355191,0.0,0.43852459016393447,0.0,0.3724385245901639,0.41025641025641024,0,
DNDGRG3M086SBEA,0,0.47131147540983614,0.02564102564102564,0.3825136612021858,0.02564102564102564,0.3046448087431694,0.0,0.22267759562841527,0.0,0.6448087431693988,0.1794871794871795,0.33060109289617484,0.0,0.37841530054644806,0.0,0.24180327868852458,0.0,0.37209699453551914,0.1794871794871795,0,
UEMP5TO14,0,0.5245901639344263,0.8205128205128205,0.342896174863388,0.23076923076923078,0.3866120218579234,0.46153846153846156,0.25136612021857924,0.20512820512820512,0.3333333333333333,0.0,0.366120218579235,0.0,0.3360655737704918,0.0,0.430327868852459,0.0,0.3714139344262295,0.8205128205128205,0,
WPSFD49502,0,0.5314207650273224,0.1282051282051282,0.3743169398907103,0.1282051282051282,0.34562841530054644,0.1794871794871795,0.22814207650273224,0.02564102564102564,0.5109289617486339,0.0,0.3852459016393442,0.0,0.25136612021857924,0.0,0.3046448087431694,0.0,0.36646174863387976,0.1794871794871795,0,
IPNCONGD,0,0.25546448087431695,0.1282051282051282,0.28415300546448086,0.2564102564102564,0.3784153005464481,0.5128205128205128,0.4234972677595629,0.358974358974359,0.5,0.0,0.3415300546448088,0.0,0.46311475409836067,0.0,0.2527322404371585,0.0,0.3623633879781421,0.5128205128205128,0,
UEMPMEAN,0,0.21584699453551912,0.15384615384615385,0.3251366120218579,0.3076923076923077,0.27868852459016397,0.3333333333333333,0.4234972677595628,0.28205128205128205,0.3524590163934427,0.0,0.5054644808743171,0.0,0.3729508196721311,0.0,0.29098360655737704,0.0,0.34562841530054644,0.3333333333333333,0,
DPCERA3M086SBEA,0,0.3551912568306011,0.3076923076923077,0.3183060109289617,0.28205128205128205,0.20218579234972678,0.05128205128205128,0.32103825136612024,0.3076923076923077,0.5710382513661202,0.0,0.39071038251366125,0.0,0.19672131147540983,0.0,0.3975409836065574,0.0,0.34409153005464477,0.3076923076923077,0,
IPFPNSS,0,0.18442622950819673,0.0,0.19672131147540983,0.0,0.2937158469945355,0.0,0.21584699453551914,0.0,0.31693989071038253,0.0,0.5081967213114754,0.0,0.43852459016393447,0.0,0.558743169398907,0.0,0.3391393442622951,0.0,0,
INVEST,0,0.34836065573770486,0.28205128205128205,0.2377049180327869,0.02564102564102564,0.27049180327868855,0.2564102564102564,0.33469945355191255,0.38461538461538464,0.5655737704918034,0.0,0.31420765027322406,0.0,0.314207650273224,0.0,0.3128415300546448,0.0,0.33726092896174864,0.38461538461538464,0,
BUSLOANS,0,0.40027322404371585,0.38461538461538464,0.40437158469945356,0.4358974358974359,0.3087431693989071,0.5384615384615384,0.34562841530054644,0.41025641025641024,0.366120218579235,0.0,0.31693989071038253,0.0,0.3005464480874317,0.0,0.2117486338797814,0.0,0.33179644808743175,0.5384615384615384,0,
CES0600000008,0,0.33743169398907097,0.02564102564102564,0.2759562841530055,0.02564102564102564,0.4166666666666667,0.3076923076923077,0.3961748633879781,0.2564102564102564,0.2978142076502733,0.0,0.43169398907103823,0.0,0.1994535519125683,0.0,0.29098360655737704,0.0,0.3307718579234972,0.3076923076923077,0,
WPSID62,0,0.389344262295082,0.38461538461538464,0.42076502732240434,0.10256410256410256,0.2568306010928962,0.05128205128205128,0.24043715846994537,0.07692307692307693,0.32786885245901637,0.0,0.36885245901639346,0.0,0.19398907103825136,0.0,0.4412568306010929,0.02564102564102564,0.32991803278688525,0.38461538461538464,0,
NONREVSL,0,0.3633879781420765,0.358974358974359,0.226775956284153,0.07692307692307693,0.4112021857923498,0.41025641025641024,0.4945355191256831,0.38461538461538464,0.3469945355191257,0.0,0.33060109289617484,0.0,0.27049180327868855,0.0,0.17896174863387979,0.0,0.3278688524590164,0.41025641025641024,0,
IPDMAT,0,0.24590163934426232,0.07692307692307693,0.1680327868852459,0.05128205128205128,0.17896174863387979,0.20512820512820512,0.1912568306010929,0.1794871794871795,0.4426229508196721,0.0,0.366120218579235,0.0,0.4330601092896175,0.0,0.5942622950819673,0.0,0.3275273224043716,0.20512820512820512,0,
REALLN,0,0.28688524590163933,0.3076923076923077,0.35109289617486333,0.28205128205128205,0.27049180327868855,0.28205128205128205,0.24726775956284153,0.2564102564102564,0.5765027322404372,0.0,0.2377049180327869,0.0,0.4658469945355191,0.0,0.15710382513661203,0.0,0.3241120218579235,0.3076923076923077,0,
DSERRG3M086SBEA,0,0.2827868852459016,0.28205128205128205,0.38934426229508196,0.28205128205128205,0.3237704918032787,0.358974358974359,0.42896174863387976,0.38461538461538464,0.22677595628415304,0.0,0.3469945355191257,0.0,0.23224043715846995,0.0,0.3292349726775956,0.0,0.3200136612021858,0.38461538461538464,0,
DDURRG3M086SBEA,0,0.4549180327868852,0.5641025641025641,0.16939890710382513,0.07692307692307693,0.23087431693989072,0.02564102564102564,0.27732240437158473,0.10256410256410256,0.42896174863387976,0.0,0.3551912568306011,0.0,0.31967213114754095,0.0,0.29918032786885246,0.0,0.3169398907103825,0.5641025641025641,0,
USCONS,0,0.4193989071038251,0.7692307692307693,0.06284153005464481,0.0,0.14207650273224046,0.05128205128205128,0.2923497267759563,0.07692307692307693,0.34972677595628415,0.0,0.32786885245901637,0.0,0.44945355191256836,0.0,0.4849726775956284,0.0,0.3160860655737705,0.7692307692307693,0,
DTCTHFNM,0,0.4030054644808743,0.5641025641025641,0.5027322404371585,0.41025641025641024,0.23224043715846998,0.23076923076923078,0.15437158469945356,0.20512820512820512,0.35792349726775957,0.0,0.3251366120218579,0.0,0.2759562841530055,0.0,0.2663934426229508,0.0,0.31471994535519127,0.5641025641025641,0,
CES3000000008,0,0.5423497267759563,0.7692307692307693,0.1939890710382514,0.07692307692307693,0.33879781420765026,0.2564102564102564,0.31147540983606553,0.1794871794871795,0.26229508196721313,0.0,0.3442622950819672,0.0,0.28005464480874315,0.0,0.19808743169398904,0.0,0.3089139344262295,0.7692307692307693,0,
UEMPLT5,0,0.5068306010928962,0.5641025641025641,0.13524590163934425,0.05128205128205128,0.16939890710382513,0.23076923076923078,0.22404371584699456,0.3333333333333333,0.36885245901639346,0.0,0.45628415300546443,0.0,0.2896174863387978,0.0,0.31830601092896177,0.0,0.30857240437158473,0.5641025641025641,0,
M1SL,0,0.2431693989071038,0.07692307692307693,0.3551912568306011,0.15384615384615385,0.3620218579234973,0.3076923076923077,0.296448087431694,0.15384615384615385,0.40437158469945356,0.0,0.39344262295081966,0.0,0.21584699453551912,0.0,0.1680327868852459,0.0,0.30481557377049184,0.3076923076923077,0,
CES2000000008,0,0.51775956284153,0.7948717948717948,0.29098360655737704,0.20512820512820512,0.1762295081967213,0.1794871794871795,0.20901639344262293,0.20512820512820512,0.3278688524590164,0.0,0.41803278688524587,0.0,0.3046448087431694,0.0,0.18169398907103826,0.0,0.3032786885245901,0.7948717948717948,0,
UEMP15T26,0,0.26229508196721313,0.1794871794871795,0.06830601092896176,0.0,0.21448087431693988,0.0,0.06557377049180328,0.0,0.3852459016393443,0.0,0.3333333333333333,0.0,0.3551912568306011,0.0,0.6789617486338798,0.02564102564102564,0.29542349726775957,0.1794871794871795,0,
INDPRO,0,0.15710382513661203,0.0,0.1885245901639344,0.0,0.18579234972677597,0.05128205128205128,0.2390710382513661,0.0,0.29234972677595633,0.0,0.407103825136612,0.0,0.4412568306010929,0.0,0.43579234972677594,0.0,0.2933743169398907,0.05128205128205128,0,
IPMANSICS,0,0.13797814207650275,0.0,0.16939890710382513,0.0,0.2827868852459016,0.07692307692307693,0.30191256830601093,0.02564102564102564,0.4890710382513661,0.0,0.3005464480874317,0.0,0.3224043715846994,0.0,0.3401639344262295,0.0,0.2930327868852459,0.07692307692307693,0,
AWOTMAN,0,0.2636612021857923,0.1282051282051282,0.22677595628415304,0.07692307692307693,0.3497267759562841,0.28205128205128205,0.2786885245901639,0.20512820512820512,0.24590163934426232,0.0,0.30601092896174864,0.0,0.22950819672131148,0.0,0.33469945355191255,0.0,0.27937158469945356,0.28205128205128205,0,
NONBORRES,0,0.10792349726775959,0.02564102564102564,0.21584699453551914,0.07692307692307693,0.19398907103825136,0.23076923076923078,0.29918032786885246,0.3333333333333333,0.5792349726775957,0.0,0.273224043715847,0.0,0.2568306010928962,0.0,0.2773224043715847,0.0,0.2754439890710383,0.3333333333333333,0,
CUMFNS,0,0.058743169398907114,0.0,0.057377049180327856,0.0,0.2527322404371585,0.1794871794871795,0.24043715846994537,0.20512820512820512,0.5081967213114754,0.0,0.41803278688524587,0.0,0.28688524590163933,0.0,0.32103825136612024,0.0,0.26793032786885246,0.20512820512820512,0,
IPDCONGD,0,0.296448087431694,0.5641025641025641,0.13934426229508198,0.02564102564102564,0.21994535519125682,0.02564102564102564,0.18989071038251368,0.1282051282051282,0.21857923497267762,0.0,0.2568306010928962,0.0,0.46311475409836067,0.0,0.3155737704918033,0.0,0.2624658469945355,0.5641025641025641,0,
DTCOLNVHFNM,0,0.35928961748633875,0.5641025641025641,0.21448087431693988,0.05128205128205128,0.13797814207650272,0.07692307692307693,0.22404371584699456,0.1794871794871795,0.3360655737704918,0.0,0.2923497267759563,0.0,0.2773224043715847,0.0,0.23087431693989072,0.0,0.25905054644808745,0.5641025641025641,0,
